"season","posteam","full_name","offense_players","years_exp","pass_snaps","rec_yards_total","targets_total","receiving_epa_total","yards_per_pass_snap","targets_per_pass_snap","rec_epa_per_pass_snap","name_season","position","team"
2022,"TEN","Treylon Burks","00-0037742",1,227,444,54,3.9,1.96,0.24,0.02,"Treylon Burks 2022","WR","TEN"
2022,"WAS","Antonio Gibson","00-0036328",3,246,353,58,3.04,1.43,0.24,0.01,"Antonio Gibson 2022","RB","WAS"
2022,"WAS","Armani Rogers","00-0037168",1,55,64,6,3.62,1.16,0.11,0.07,"Armani Rogers 2022","TE","WAS"
2022,"WAS","Brian Robinson","00-0037746",1,94,60,12,-2.06,0.64,0.13,-0.02,"Brian Robinson 2022","RB","WAS"
2022,"WAS","Cam Sims","00-0034104",5,160,89,18,-8.6,0.56,0.11,-0.05,"Cam Sims 2022","WR","WAS"
2022,"WAS","Cole Turner","00-0037078",1,80,23,9,-6.75,0.29,0.11,-0.08,"Cole Turner 2022","TE","WAS"
2022,"WAS","Curtis Samuel","00-0033282",6,456,656,92,25.68,1.44,0.2,0.06,"Curtis Samuel 2022","WR","WAS"
2022,"WAS","Dax Milne","00-0036671",2,32,37,7,2.49,1.16,0.22,0.08,"Dax Milne 2022","WR","WAS"
2022,"WAS","Dyami Brown","00-0036626",2,73,143,14,4.95,1.96,0.19,0.07,"Dyami Brown 2022","WR","WAS"
2022,"WAS","J.D. McKissic","00-0032602",7,156,173,40,-17.9,1.11,0.26,-0.11,"J.D. McKissic 2022","RB","WAS"
2022,"WAS","Jahan Dotson","00-0037741",1,334,523,61,21.77,1.57,0.18,0.07,"Jahan Dotson 2022","WR","WAS"
2022,"WAS","Jaret Patterson","00-0036755",2,8,0,1,-0.79,0,0.12,-0.1,"Jaret Patterson 2022","RB","WAS"
2022,"WAS","John Bates","00-0036628",2,175,108,22,-2.85,0.62,0.13,-0.02,"John Bates 2022","TE","WAS"
2022,"WAS","Jonathan Williams","00-0032975",7,53,40,10,-2.87,0.75,0.19,-0.05,"Jonathan Williams 2022","RB","WAS"
2022,"WAS","Logan Thomas","00-0031260",9,353,323,61,-8.53,0.92,0.17,-0.02,"Logan Thomas 2022","TE","WAS"
2022,"WAS","Terry McLaurin","00-0035659",4,514,1191,120,48.66,2.32,0.23,0.09,"Terry McLaurin 2022","WR","WAS"
